"N","lambda","rho","truth","rep","status","naive_model","naive_reported_rmse","naive_true_rmse","naive_true_mae","naive_optimism_rmse","naive_TPR","naive_FPR","naive_F1","nested_top_model","nested_reported_rmse","nested_true_rmse","nested_true_mae","nested_optimism_rmse","nested_TPR","nested_FPR","nested_F1","nested_modal_true_rmse","nested_modal_true_mae","nested_modal_optimism","nested_modal_TPR","nested_modal_FPR","nested_modal_F1"
200,0.85,0.4,"M0",84,"ok","M0",1.09380449928386,1.00695592561494,0.805186188940181,0.0868485736689155,NA,0,NA,"M0",1.09155943939437,1.00708936907619,0.805318041882216,0.084470070318182,NA,0.0666666666666667,0,1.00695592561494,0.805186188940181,0.0846035137794228,NA,0,NA
200,0.85,0.4,"M0",85,"ok","M2",1.02001848183539,1.02215573558899,0.814393275032282,-0.00213725375359464,NA,0.333333333333333,0,"M0",1.03567074482578,1.01849023349478,0.811700869121954,0.0171805113309966,NA,0.0666666666666667,0,1.01793813263594,0.81127621074531,0.0177326121898436,NA,0,NA
200,0.85,0.4,"M0",86,"ok","M0",0.988545060594457,1.01561221811203,0.812728343543406,-0.0270671575175725,NA,0,NA,"M0",1.00131807998672,1.01499936638239,0.812166736414188,-0.0136812863956761,NA,0.133333333333333,0,1.01561221811203,0.812728343543406,-0.0142941381253125,NA,0,NA
200,0.85,0.4,"M0",87,"ok","M0",1.02271586000312,1.02520857415853,0.817828838922774,-0.0024927141554083,NA,0,NA,"M0",1.01443837646324,1.02550563785971,0.818071035185257,-0.0110672613964684,NA,0.0666666666666667,0,1.02520857415853,0.817828838922774,-0.0107701976952874,NA,0,NA
200,0.85,0.4,"M0",88,"ok","M4",0.933499114988678,1.02623833319416,0.818564641535506,-0.0927392182054837,NA,0.666666666666667,0,"M4",0.938671458819761,1.02474680879858,0.817458125522235,-0.0860753499788237,NA,0.5,0,1.02623833319416,0.818564641535506,-0.0875668743744004,NA,0.666666666666667,0
200,0.85,0.4,"M0",89,"ok","M3",0.954519063913549,1.02886725722723,0.821067777186373,-0.0743481933136843,NA,0.333333333333333,0,"M3",0.973626980441494,1.02476738171859,0.817210236167805,-0.051140401277094,NA,0.2,0,1.02886725722723,0.821067777186373,-0.055240276785739,NA,0.333333333333333,0
200,0.85,0.4,"M0",90,"ok","M3",1.04613432329546,1.0218627616211,0.816426031265143,0.0242715616743649,NA,0.333333333333333,0,"M0",1.05143555488631,1.02150667512974,0.81567195736317,0.0299288797565698,NA,0.2,0,1.02086783000854,0.814915377083468,0.0305677248777678,NA,0,NA
200,0.85,0.4,"M0",91,"ok","M0",0.938638126567965,1.02394646023648,0.814006653237421,-0.0853083336685125,NA,0,NA,"M0",0.937196265446977,1.02399695813899,0.814052604043235,-0.086800692692009,NA,0.0666666666666667,0,1.02394646023648,0.814006653237421,-0.0867501947895001,NA,0,NA
200,0.85,0.4,"M0",92,"ok","M0",0.970304649294081,1.02099156552125,0.818092997945361,-0.0506869162271655,NA,0,NA,"M0",0.982516120954252,1.02183682890786,0.818859644416552,-0.0393207079536071,NA,0.133333333333333,0,1.02099156552125,0.818092997945361,-0.0384754445669939,NA,0,NA
200,0.85,0.4,"M0",93,"ok","M2",0.941019350111121,1.01235900344041,0.805809720469617,-0.0713396533292855,NA,0.333333333333333,0,"M0",0.953426409787145,1.01158784388045,0.805721661618488,-0.0581614340933037,NA,0.133333333333333,0,1.01107373750714,0.805662955717736,-0.0576473277199983,NA,0,NA
200,0.85,0.4,"M0",94,"ok","M1",0.979549868578746,1.02034189426209,0.818284607422587,-0.0407920256833484,NA,0.333333333333333,0,"M2",0.998513140364321,1.01569692268307,0.814382967474782,-0.0171837823187515,NA,0.466666666666667,0,1.01224554548391,0.811740547407451,-0.0137324051195871,NA,0.333333333333333,0
200,0.85,0.4,"M0",95,"ok","M0",1.02838986556604,1.02185648283176,0.815067217260843,0.00653338273428083,NA,0,NA,"M0",1.03026857208979,1.02191649136469,0.815140483084942,0.00835208072509985,NA,0.0666666666666667,0,1.02185648283176,0.815067217260843,0.00841208925802883,NA,0,NA
200,0.85,0.4,"M0",96,"ok","M3",0.967707186787431,1.020502019591,0.811468470169086,-0.0527948328035697,NA,0.333333333333333,0,"M3",0.973170457516997,1.020502019591,0.811468470169086,-0.047331562074004,NA,0.333333333333333,0,1.020502019591,0.811468470169086,-0.047331562074004,NA,0.333333333333333,0
200,0.85,0.4,"M0",97,"ok","M4",0.952572643701335,1.04019789677955,0.837461003295432,-0.0876252530782105,NA,0.666666666666667,0,"M0",0.959185779590039,1.03869652923296,0.836827445256556,-0.0795107496429213,NA,0.3,0,1.03841498553312,0.836899082284455,-0.0792292059430821,NA,0,NA
200,0.85,0.4,"M0",98,"ok","M1",1.06161148069232,1.00469951345758,0.808086793509736,0.0569119672347356,NA,0.333333333333333,0,"M1",1.07204532526968,1.00457367890668,0.807941824555939,0.0674716463630018,NA,0.366666666666667,0,1.00469951345758,0.808086793509736,0.0673458118121031,NA,0.333333333333333,0
200,0.85,0.4,"M0",99,"ok","M0",1.0409962296629,1.03357774633152,0.8305854408535,0.00741848333137329,NA,0,NA,"M0",1.04407410045329,1.03355551722441,0.830475223141328,0.0105185832288817,NA,0.166666666666667,0,1.03357774633152,0.8305854408535,0.0104963541217657,NA,0,NA
200,0.85,0.4,"M0",100,"ok","M2",1.00563833903524,1.0298335167025,0.824309605723854,-0.0241951776672575,NA,0.333333333333333,0,"M6",1.02706148969671,1.03408518981763,0.827142261202242,-0.00702370012092657,NA,0.4,0,1.03735048439479,0.829144248994091,-0.0102889946980878,NA,0.666666666666667,0
200,0.85,0.4,"M0",101,"ok","M0",0.988607614699463,1.02051862578314,0.814404310377774,-0.0319110110836789,NA,0,NA,"M0",0.988879110877354,1.02102557511228,0.814773547810129,-0.0321464642349275,NA,0.1,0,1.02051862578314,0.814404310377774,-0.0316395149057881,NA,0,NA
200,0.85,0.4,"M0",102,"ok","M6",1.0249098036286,1.06450496187914,0.849043084256907,-0.0395951582505343,NA,0.666666666666667,0,"M6",1.03251164161139,1.06051682380724,0.845906781355564,-0.0280051821958571,NA,0.633333333333333,0,1.06450496187914,0.849043084256907,-0.0319933202677485,NA,0.666666666666667,0
200,0.85,0.4,"M0",103,"ok","M0",1.06833627249528,1.00998154464475,0.807914954259939,0.0583547278505385,NA,0,NA,"M0",1.07151705421432,1.00994707072277,0.807879079339425,0.0615699834915535,NA,0.0666666666666667,0,1.00998154464475,0.807914954259939,0.0615355095695789,NA,0,NA
200,0.85,0.4,"M0",104,"ok","M1",1.01752940381767,1.00783130304753,0.809158037989526,0.00969810077013911,NA,0.333333333333333,0,"M1",1.0164948077209,1.00801526935448,0.809483041828256,0.00847953836641846,NA,0.2,0,1.00783130304753,0.809158037989526,0.00866350467336541,NA,0.333333333333333,0
200,0.85,0.4,"M0",105,"ok","M0",1.01236974136698,1.02401144393782,0.816761229301908,-0.0116417025708417,NA,0,NA,"M0",1.01174999752397,1.02423809139869,0.816910420482666,-0.0124880938747152,NA,0.0333333333333333,0,1.02401144393782,0.816761229301908,-0.0122614464138484,NA,0,NA
200,0.85,0.4,"M0",106,"ok","M6",0.986198361874286,1.03845645062089,0.825390643852585,-0.0522580887466072,NA,0.666666666666667,0,"M6",1.00255377219262,1.03572929314316,0.823267129999032,-0.0331755209505333,NA,0.5,0,1.03845645062089,0.825390643852585,-0.0359026784282683,NA,0.666666666666667,0
200,0.85,0.4,"M0",107,"ok","M0",1.05620097161693,1.01995048605107,0.81273299974118,0.0362504855658605,NA,0,NA,"M0",1.05289964159221,1.02003822170288,0.812818067312795,0.0328614198893236,NA,0.0666666666666667,0,1.01995048605107,0.81273299974118,0.0329491555411348,NA,0,NA
200,0.85,0.4,"M0",108,"ok","M3",0.973557407414488,1.03107507488451,0.824489553768225,-0.0575176674700184,NA,0.333333333333333,0,"M0",0.97202577610181,1.0288781085628,0.822966517925987,-0.0568523324609952,NA,0.0666666666666667,0,1.02862756623311,0.822791965776621,-0.0566017901313044,NA,0,NA
200,0.85,0.4,"M0",109,"ok","M0",0.909667225105022,1.00460042893488,0.802940811445657,-0.0949332038298614,NA,0,NA,"M6",0.938781622067311,1.01650833349998,0.813684905801363,-0.0777267114326735,NA,0.433333333333333,0,1.0233753713109,0.819621901971702,-0.0845937492435925,NA,0.666666666666667,0
200,0.85,0.4,"M0",110,"ok","M3",0.898277938526519,1.04793808317839,0.838588536199457,-0.149660144651869,NA,0.333333333333333,0,"M2",0.917860487997088,1.04737552586049,0.838560734830502,-0.1295150378634,NA,0.333333333333333,0,1.04786737320625,0.839389585981931,-0.130006885209165,NA,0.333333333333333,0
