"tau","core_model","true_rmse","true_mae","pE","pQ","pV","N","lambda","rho","truth","rep"
0.8,"M0",1.01105315209656,0.803700959554524,0.4,0,0.1,200,0.7,0,"M0",80
0.6,"M0",1.03105460437832,0.824713379417207,0.2,0.5,0.1,200,0.7,0,"M0",81
0.7,"M0",1.03105460437832,0.824713379417207,0.2,0.5,0.1,200,0.7,0,"M0",81
0.8,"M0",1.03105460437832,0.824713379417207,0.2,0.5,0.1,200,0.7,0,"M0",81
0.6,"M0",1.0374152478194,0.828916547866407,0.1,0.3,0,200,0.7,0,"M0",82
0.7,"M0",1.0374152478194,0.828916547866407,0.1,0.3,0,200,0.7,0,"M0",82
0.8,"M0",1.0374152478194,0.828916547866407,0.1,0.3,0,200,0.7,0,"M0",82
0.6,"M2",1.00159131352817,0.801078817859106,0,0.7,0.1,200,0.7,0,"M0",83
0.7,"M2",1.00159131352817,0.801078817859106,0,0.7,0.1,200,0.7,0,"M0",83
0.8,"M0",1.0014190521301,0.8009919403602,0,0.7,0.1,200,0.7,0,"M0",83
0.6,"M0",1.02830436743867,0.820887742240247,0,0,0.1,200,0.7,0,"M0",84
0.7,"M0",1.02830436743867,0.820887742240247,0,0,0.1,200,0.7,0,"M0",84
0.8,"M0",1.02830436743867,0.820887742240247,0,0,0.1,200,0.7,0,"M0",84
0.6,"M0",1.02747284165469,0.819603941835141,0,0,0.2,200,0.7,0,"M0",85
0.7,"M0",1.02747284165469,0.819603941835141,0,0,0.2,200,0.7,0,"M0",85
0.8,"M0",1.02747284165469,0.819603941835141,0,0,0.2,200,0.7,0,"M0",85
0.6,"M7",1.03348868429715,0.82327794305366,0.8,0.6,1,200,0.7,0,"M0",86
0.7,"M5",1.03199674650735,0.821234513496642,0.8,0.6,1,200,0.7,0,"M0",86
0.8,"M5",1.03199674650735,0.821234513496642,0.8,0.6,1,200,0.7,0,"M0",86
0.6,"M0",1.02406113046002,0.815226918136864,0.4,0,0.5,200,0.7,0,"M0",87
0.7,"M0",1.02406113046002,0.815226918136864,0.4,0,0.5,200,0.7,0,"M0",87
0.8,"M0",1.02406113046002,0.815226918136864,0.4,0,0.5,200,0.7,0,"M0",87
0.6,"M3",1.04025826007094,0.827984696251924,0.5,0,0.8,200,0.7,0,"M0",88
0.7,"M3",1.04025826007094,0.827984696251924,0.5,0,0.8,200,0.7,0,"M0",88
0.8,"M3",1.04025826007094,0.827984696251924,0.5,0,0.8,200,0.7,0,"M0",88
0.6,"M3",1.01852495469514,0.812278049819296,0,0,0.6,200,0.7,0,"M0",89
0.7,"M0",1.01952427538964,0.813282654215891,0,0,0.6,200,0.7,0,"M0",89
0.8,"M0",1.01952427538964,0.813282654215891,0,0,0.6,200,0.7,0,"M0",89
0.6,"M0",1.02962158810689,0.821691586843634,0.1,0.1,0.5,200,0.7,0,"M0",90
0.7,"M0",1.02962158810689,0.821691586843634,0.1,0.1,0.5,200,0.7,0,"M0",90
0.8,"M0",1.02962158810689,0.821691586843634,0.1,0.1,0.5,200,0.7,0,"M0",90
0.6,"M7",1.0347584247422,0.818863375096702,1,0.6,1,200,0.7,0,"M0",91
0.7,"M5",1.03543904063544,0.818273424089406,1,0.6,1,200,0.7,0,"M0",91
0.8,"M5",1.03543904063544,0.818273424089406,1,0.6,1,200,0.7,0,"M0",91
0.6,"M0",1.03509509429077,0.823621662691045,0.5,0.1,0.1,200,0.7,0,"M0",92
0.7,"M0",1.03509509429077,0.823621662691045,0.5,0.1,0.1,200,0.7,0,"M0",92
0.8,"M0",1.03509509429077,0.823621662691045,0.5,0.1,0.1,200,0.7,0,"M0",92
0.6,"M0",1.03228265445297,0.826161242958651,0,0.1,0,200,0.7,0,"M0",93
0.7,"M0",1.03228265445297,0.826161242958651,0,0.1,0,200,0.7,0,"M0",93
0.8,"M0",1.03228265445297,0.826161242958651,0,0.1,0,200,0.7,0,"M0",93
0.6,"M3",1.02053414741339,0.814047244169147,0.4,0.1,0.8,200,0.7,0,"M0",94
0.7,"M3",1.02053414741339,0.814047244169147,0.4,0.1,0.8,200,0.7,0,"M0",94
0.8,"M3",1.02053414741339,0.814047244169147,0.4,0.1,0.8,200,0.7,0,"M0",94
0.6,"M1",1.02134219809353,0.809422312381367,0.6,0.3,0.2,200,0.7,0,"M0",95
0.7,"M0",1.02126514960204,0.808577876131524,0.6,0.3,0.2,200,0.7,0,"M0",95
0.8,"M0",1.02126514960204,0.808577876131524,0.6,0.3,0.2,200,0.7,0,"M0",95
0.6,"M3",1.03588885756581,0.822084704361364,0.1,0.1,0.8,200,0.7,0,"M0",96
0.7,"M3",1.03588885756581,0.822084704361364,0.1,0.1,0.8,200,0.7,0,"M0",96
